W,L
4.77,155.18980457288916
4.77,155.20480457288915
4.77,155.22480457288913
4.7825,155.56212738353292
4.785,155.67808975519233
4.785,155.75308975519232
4.785,155.7680897551923
4.785,155.7830897551923
4.795,156.0775411799793
4.795,156.09254117997932
4.795,156.1075411799793
4.7975,156.13850662934493
4.7975,156.17350662934493
4.800000000000001,156.22947361899674
4.800000000000001,156.21947361899674
4.800000000000001,156.21947361899674
4.800000000000001,156.21947361899674
4.800000000000001,156.27447361899675
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28544214989324
4.8025,156.28044214989325
4.8025,156.28544214989324
4.8025,156.31044214989322
4.8100000000000005,156.59390048064546
4.8125,156.65987055374748
4.8149999999999995,156.7208421700181
4.8175,156.79681533042287
4.83,157.139022304756
4.83,157.204022304756
4.835,157.28097635495817
4.842499999999999,157.69936634566574
4.8475,157.79632658794827
4.85,157.87730903356427
4.859999999999999,158.19344995231774
4.8625,158.30943394889206
4.875,158.75472790308743
4.88,158.89670676872788
4.895,159.2697409607893
4.895,159.37474096078927
4.9,159.46673228164823
4.9125,159.8387267057141
4.9125,159.89372670571407
4.915,159.94972626640816
4.9175,160.02072738902092
4.925,160.29220848348353
4.9325,160.52367791353637
4.9375,160.73741135145616
4.945,160.82715198826162
4.9475,160.8531625037029
4.952500000000001,161.02860116814114
4.955,161.0596132526296
4.9575,161.12562690719346
4.965,161.34706750933032
4.97,161.55579200611623
4.9725,161.62681037710092
4.985,161.8836277976683
4.995,162.20105112474332
4.9975000000000005,162.30207579883682
5.0075,162.50614502397588
5.01,162.56217285590407
5.02,162.71957848601093
5.0225,162.78061106259884
5.03,163.1069770160118
5.035,163.23905009180632
5.045,163.44806147144908
5.047499999999999,163.52410197706166
5.05,163.59514407169127
5.0625,164.0167705040268
5.0675,164.12886264807508
5.085,164.47911350265764
5.09,164.54621840213866
5.09,164.57121840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57121840213864
5.09,164.56121840213865
5.09,164.56121840213865
5.09,164.56121840213865
5.09,164.57121840213864
5.09,164.58121840213863
5.09,164.6062184021386
5.1,164.8916791861261
5.105,165.00379047642923
5.1075,165.04484852088547
5.112500000000001,165.21505849178308
5.112500000000001,165.2400584917831
5.115,165.27111813724594
5.115,165.30611813724596
5.115,165.33111813724594
5.12,165.5097792555109
5.1225000000000005,165.55584210630747
5.1225000000000005,165.58084210630744
5.125,165.60190656143652
5.125,165.64690656143654
5.1274999999999995,165.70797262201216
5.1425,166.11698838579224
5.1425,166.17198838579225
5.145,166.24805766061397
5.15,166.34520103779738
5.1525,166.3762751424117
5.1525,166.4012751424117
5.18,166.84798966399396
5.1825,166.90906699411758
5.1825,166.97406699411758
5.1850000000000005,167.04014593869846
5.1875,167.08622649887522
5.1925,167.2263128877911
5.1975,167.32493306930309
5.2,167.36601686409907
5.2,167.36101686409907
5.2,167.34601686409906
5.2,167.33101686409907
5.1975,167.2784788595013
5.1975,167.26347885950128
5.1975,167.25847885950128
5.1975,167.25847885950128
5.1975,167.25847885950128
5.1975,167.25847885950128
5.1975,167.26347885950128
5.1975,167.27347885950127
5.1975,167.2784788595013
5.2,167.33101686409907
5.2,167.34101686409906
5.2,167.34601686409906
5.2,167.35601686409905
5.2,167.36101686409907
5.2,167.36601686409907
5.202500000000001,167.47355140499184
5.202500000000001,167.48855140499185
5.202500000000001,167.51355140499186
5.202500000000001,167.55855140499185
5.202500000000001,167.57355140499186
5.202500000000001,167.62355140499184
5.202500000000001,167.93855140499184
5.202500000000001,167.95855140499185
5.205,167.97463681881663
5.2075,168.05572385282017
5.220000000000001,168.40191597741705
5.2225,168.4330062552389
5.2225,168.4530062552389
5.2275,168.5001916829795
5.2275,168.52519168297948
5.2275,168.5701916829795
5.23,168.62128683522343
5.2325,169.0373836146046
5.2325,169.08238361460462
5.235,169.11348202229277
5.237500000000001,169.18958205946046
5.237500000000001,169.27458205946047
5.237500000000001,169.31958205946046
5.237500000000001,169.32458205946045
5.23,169.58700966452875
5.23,169.59200966452875
5.23,169.60700966452873
5.23,169.61700966452872
5.23,169.62200966452875
5.23,169.63200966452874
5.234999999999999,169.65421463200727
5.234999999999999,169.69921463200725
5.225,169.87906954673417
5.225,169.92906954673415
5.217499999999999,170.04142441364752
5.217499999999999,170.04642441364754
5.217499999999999,170.06142441364756
5.22,170.08752934631787
5.22,170.10752934631788
5.215,170.1824153385923
5.215,170.1974153385923
5.215,170.2274153385923
5.1975,170.4794079752146
5.1975,170.5744079752146
5.1975,170.6044079752146
5.1975,170.6094079752146
5.1975,170.61940797521459
5.1775,170.84362271815493
5.1775,170.90862271815493
5.1775,170.93362271815494
5.1775,170.94862271815492
5.1775,170.9636227181549
5.1775,170.99362271815494
5.1775,171.00862271815492
5.1775,171.01362271815492
5.1775,171.01862271815492
5.1775,171.03362271815493
5.12,171.422656808844
5.12,171.442656808844
5.12,171.47265680884402
5.12,171.522656808844
5.12,171.57765680884398
5.12,171.622656808844
5.12,171.632656808844
5.165,171.76669748382398
5.165,171.76669748382398
5.16,171.77127543185395
5.16,171.79127543185396
5.16,171.79127543185396
5.15,171.820411385944
5.06,172.33144469552897
4.91,172.96179672337692
4.91,172.96179672337692
4.905,172.9660417136785
4.905,172.9660417136785
4.895,173.00451247335502
4.885,173.03295763456737
4.82,173.3172296330847
4.695,173.7285977695584
4.635,173.87586712771198
4.56,174.08370226401178
4.495,174.32271044301876
4.37,174.75407610157268
4.29,174.94058158821971
4.26,175.02137854352756
4.24,175.0651247796057
4.22,175.10877653593397
4.135,175.39574716943005
4.06,175.5846134066691
4.005,175.69961945844943
3.955,175.840837955885
3.945,175.87701275216813
3.895,175.96754343993223
3.875,175.99959591948962
3.855,176.06155734641283
3.825,176.1393291352963
3.745,176.32572515578087
3.71,176.40557011257303
3.695,176.44399095315953
3.675,176.48514036948475
3.645,176.5616968708793
3.585,176.72420831896662
3.45,177.01444473763837
3.345,177.20630555714143
3.3,177.26779574116202
3.265,177.314206469674
3.22,177.37491647599728
3.2,177.41398060221061
3.15,177.48626413778868
3.125,177.52720449619213
3.065,177.6429151746924
2.46,177.95967496488313
2.425,177.96987920433006
2.295,178.00557160364914
2.235,178.03087460925303
1.97,178.22967079441798
1.56,178.29259854013213
1.525,178.29640164649499
1.42,178.3163353788902
1.32,178.323740542216
1.245,178.32797976397848
1.17,178.3310929561664
